,Gender,Age,Education,Monthly Household Income,Social Identity,Residential Area,Overseas Travel Experience,Travel Experience to Mainland,Friend/Relatives in Mainland China,label
201,1,1,3,4,1,3,3,1,2,0
202,1,3,2,3,1,3,3,2,2,2
203,1,3,3,2,1,3,3,4,1,2
204,1,3,3,2,1,3,3,4,1,2
205,1,1,3,3,3,3,3,2,2,0
206,1,1,2,3,4,2,3,3,1,1
207,1,3,3,4,1,3,3,3,1,0
208,1,4,3,3,4,1,3,3,1,1
209,1,1,3,1,4,2,3,4,1,1
210,1,1,3,4,1,3,2,3,1,0
211,1,1,1,1,1,3,3,2,2,0
212,1,1,2,4,1,3,3,2,2,0
213,2,1,3,1,3,1,3,3,1,1
214,2,1,1,1,1,2,2,2,1,0
215,1,1,3,4,1,3,3,4,1,0
216,1,1,2,2,1,3,2,3,1,0
217,2,1,2,3,1,2,2,2,2,0
218,1,1,1,3,1,3,3,3,1,0
219,1,4,3,3,1,3,3,3,1,2
220,1,1,3,4,1,3,3,2,2,0
221,1,1,3,2,3,1,2,4,1,1
222,2,1,1,2,1,3,2,3,1,0
223,2,1,3,2,1,3,3,3,1,0
224,2,2,3,3,4,2,2,4,1,1
225,2,1,2,2,1,1,2,2,2,0
226,1,1,3,2,1,3,3,3,1,0
227,2,1,2,1,5,3,3,1,2,1
228,2,1,3,2,1,3,3,4,1,0
229,1,1,3,3,1,3,3,2,2,0
230,1,1,3,2,1,3,3,3,1,0
231,1,1,3,4,1,2,3,4,2,0
232,2,1,1,2,1,3,1,3,1,0
233,1,1,3,3,1,3,2,3,1,0
